latitude, longitude, name, train_line
55.597911,12.334304,A,"S-tog A: Solrød Strand => Hillerød"
55.5213987,12.2089837,A,"S-tog A: Køge => Hillerød"
55.5214125,12.2089195,A,"S-tog A: Hillerød => Køge"
55.5662018,12.2697875,A,"S-tog A: Solrød Strand => Hillerød"
55.7681414,12.5032114,A,"S-tog A: Solrød Strand => Hillerød"
55.7812606,12.4836589,A,"S-tog A: Køge => Hillerød"
55.7961593,12.473009,A,"S-tog A: Køge => Hillerød"
55.6397334,12.4999566,A,"S-tog A: Solrød Strand => Hillerød"
55.3617181,10.5866797,n/a,"Esbjerg => Fredericia => København CPH Lufthavn"
56.3271275,10.0479983,n/a,"InterCity 1: København => Aalborg"
55.6486812,12.2688405,n/a,"InterCityLyn 5: Københavns Lufthavn => Sønderborg"
56.1569818,13.7626874,n/a,"Tåg 80: Stockholm => København"
56.0434924,9.9247354,n/a,"InterCity 1: København => Aalborg"
55.8824003,12.5313918,n/a,"Regionaltog 40: Nivå => CPH Lufthavn"
55.3295096,11.9607389,n/a,"Regionaltog 51: Roskilde => Næstved"
55.5728172,12.0996204,n/a,"Regionaltog 51: Roskilde => Næstved"
55.3617835,10.5865471,n/a,"InterCity 1: København => Aalborg"
55.6210514,12.4218707,A,"S-tog A: Hillerød => Solrød Strand"
55.6209254,12.421854,A,"S-tog A: Solrød Strand => Hillerød"
55.6255937,12.4556211,A,"S-tog A: Solrød Strand => Hillerød"
55.6257308,12.4555466,A,"S-tog A: Hillerød => Solrød Strand"
55.5685024,9.7390766,n/a,"InterCityLyn 3: Struer => Herning => København"
55.4279146,9.286412,n/a,"InterCityLyn 5: Københavns Lufthavn => Sønderborg"
55.3138194,10.803331,n/a,"Esbjerg => Fredericia => København CPH Lufthavn"
55.4804251,9.3039045,n/a,"InterCityLyn 5: Københavns Lufthavn => Sønderborg"
54.9187604,9.5939672,n/a,"InterCityLyn 5: Københavns Lufthavn => Sønderborg"
55.5448481,9.6156799,n/a,"Esbjerg => Fredericia => København CPH Lufthavn"
